feature,importance
feature_32,0.07973751681504018
feature_4,0.07463294970012657
feature_28,0.06105380785640505
feature_31,0.06104750454532824
feature_30,0.043729752043869315
feature_45,0.043609964802101164
feature_55,0.037559643121091967
feature_10,0.037278186865872254
feature_20,0.037183361254464704
feature_27,0.03541196293691757
feature_29,0.031708397723531186
feature_38,0.031372042538329654
feature_12,0.030864405332118216
feature_41,0.028964566714132663
feature_39,0.027604042670094562
feature_1,0.023831328093545334
feature_9,0.022187718058208787
feature_0,0.021325244159801297
feature_54,0.020149510310753866
feature_11,0.019418598212633417
feature_19,0.01847924727252691
feature_42,0.018208663622650067
feature_48,0.017421668591885937
feature_60,0.01661472628255334
feature_40,0.01589139842620616
feature_43,0.01478894762711438
feature_58,0.01292999862714024
feature_36,0.009770950665647515
feature_61,0.009397712822281112
feature_50,0.009278367990755768
feature_14,0.006904892930367054
feature_21,0.006888983165965247
feature_22,0.006631683649555496
feature_15,0.0065738045274382016
feature_62,0.006201932109089056
feature_57,0.006044752712829202
feature_49,0.005799121711337434
feature_18,0.005621285527358437
feature_56,0.005427204217089084
feature_8,0.0051701068006752325
feature_13,0.003912475261658085
feature_6,0.0038482040956560395
feature_16,0.0033665916102880757
feature_2,0.0033356138866332623
feature_44,0.002399198721831668
feature_37,0.0022567172639457083
feature_53,0.0019076463027225554
feature_17,0.001336505306801426
feature_5,0.0008674125280448595
feature_25,0.0008629240241670677
feature_34,0.0008322219627444994
feature_59,0.0008093935460208147
feature_35,0.0006269272502516905
feature_33,0.00032787827693931114
feature_52,0.0003048558315412135
feature_24,8.672964066498964e-05
feature_23,7.435913631716858e-05
feature_47,6.777336099793208e-05
feature_26,5.775734330077693e-05
feature_46,2.861614640915201e-06
feature_7,0.0
feature_3,0.0
feature_51,0.0
